도서명,카테고리,AR,작가,출판사,ISBN,설명,메인,상세페이지,검색어
The Warriors Graphic Novel Box Set (#1~3),추천 그래픽노블,2.8~2.9,Erin Hunter,HarperCollins,9780063440104,"야생 고양이 무리들의 생존과 모험을 그린 판타지 이야기로, 각자의 영역과 규칙 속에서 펼쳐지는 갈등과 선택을 담고 있습니다. 강렬한 캐릭터와 긴장감 있는 전개를 통해 용기, 충성심, 리더십이라는 주제를 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/9780063440104_600.jpg,https://mecca01.hgodo.com/goods/9780063440104_a.jpg,"워리어스,고양이전사들,그래픽노블"
The Kane Chronicle 3-Book Graphic Novel Bind-Up,추천 그래픽노블,3.6~4.3,Rick Riordan,Disney Hyperion,9781368093620,"고대 이집트 신화와 현대적인 모험이 결합된 판타지 이야기입니다. 신화 속 존재들과 마법, 모험을 따라가며 풍부한 세계관을 경험하고, 빠른 전개와 시각적인 표현을 통해 긴 이야기에 쉽게 몰입할 수 있습니다.",https://mecca01.hgodo.com/main/9781368093620_600.jpg,https://mecca01.hgodo.com/goods/9781368093620_a.jpg,"이집트신화,그래픽노블,릭라이던,릭라이어던"
스콜라스틱 City of Dragons 3 Books Set,추천 그래픽노블,3.1,Jaimal Yogis,Scholastic,8781339033006,"용과 인간이 함께 살아가는 판타지 세계에서 펼쳐지는 모험을 담고 있습니다. 신비로운 도시와 다양한 캐릭터들의 이야기를 따라가며 상상력을 자극하고, 우정과 용기, 선택의 의미를 생각해 볼 수 있습니다.",https://mecca01.hgodo.com/main/8781339033006_600.jpg,https://mecca01.hgodo.com/goods/8781339033006_a.jpg,"시티오브드래곤,그래픽노블"
PopularMMOs Presents: Into the Overworld,추천 그래픽노블,2.7,PopularMMOs,HarperAlley,9780063080393,"마인크래프트 기반의 모험 세계에서 펼쳐지는 새로운 이야기를 담고 있습니다. 게임 속 요소를 활용한 유쾌한 사건과 캐릭터들의 협력을 통해 상상력 넘치는 모험을 경험하며, 친숙한 소재로 영어 읽기에 자연스럽게 접근할 수 있습니다.",https://mecca01.hgodo.com/main/9780063080393_600.jpg,https://mecca01.hgodo.com/goods/9780063080393_a.jpg,"마인크래프트,그래픽노블"
Magic Tree House (2 Graphic Novels in 1!),추천 그래픽노블,2.0~2.4,Annie Simpson,Random House,9780593644973,시간과 공간을 넘나드는 모험을 통해 역사와 다양한 배경지식을 자연스럽게 접할 수 있습니다. 주인공들이 새로운 시대와 장소를 탐험하는 과정을 따라가며 이야기 속 정보와 상상력을 함께 경험할 수 있습니다. 그림과 함께 전개되는 방식으로 긴 이야기도 쉽게 따라갈 수 있습니다.,https://mecca01.hgodo.com/main/9780593644973_600.jpg,https://mecca01.hgodo.com/goods/9780593644973_a.jpg,"매직트리하우스,그래픽노블"
로블록스 Academy for Roblox Pros: Attack of the Zombies,추천 그래픽노블,3.0,Louis Shea,Scholastic,9781546103318,로블록스 세계를 배경으로 펼쳐지는 좀비와의 대결과 모험을 담은 이야기입니다. 게임에서 익숙한 요소와 빠른 전개를 통해 사건 해결 과정을 따라가며 캐릭터들의 협력과 도전을 경험할 수 있습니다.,https://mecca01.hgodo.com/main/9781546103318_600.jpg,http://mecca01.hgodo.com/goods/9781546103318_a.jpg,"좀비,아카데미,그래픽노블"
Binky: The Top Secret Collection 5 Books,추천 그래픽노블,2.5~3.3,Ashley Spires,Kids Can Press,9781525310782,"우주를 지키는 비밀 요원을 꿈꾸는 고양이 빙키의 독특한 모험을 담은 이야기입니다. 상상 속 임무와 일상의 모습이 유쾌하게 어우러지며, 개성 있는 캐릭터와 코믹한 상황 속에서 창의적인 스토리를 즐길 수 있습니다.",https://mecca01.hgodo.com/main/9781525310782_600.jpg,https://mecca01.hgodo.com/goods/9781525310782_a.jpg,"빙키,고양이,그래픽노블"
Bunny vs Monkey 7 Books Set,추천 그래픽노블,2.5~2.8,Fumboo,David Fickling Books,9782992518435,숲속에서 벌어지는 토끼와 원숭이의 대결을 중심으로 펼쳐지는 코믹한 이야기를 담고 있습니다. 엉뚱한 사건과 개성 넘치는 캐릭터들의 활약을 통해 유머와 상상력이 가득한 이야기를 경험할 수 있습니다.,https://mecca01.hgodo.com/main/9782992518435_600.jpg,https://mecca01.hgodo.com/goods/9782992518435_a.jpg,"버니몽키,그래픽노블"
댄 샌탯 Sidekicks 2 Books Set,추천 그래픽노블,,Dan Santat,Scholastic,9781338879155,"평범해 보이는 동물들이 특별한 능력을 가진 영웅으로 활약하는 이야기를 담고 있습니다. 슈퍼히어로 요소와 유머를 결합한 전개 속에서 우정과 협력, 자신만의 강점을 찾아가는 과정을 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/9781338879155_600.jpg,https://mecca01.hgodo.com/goods/9781338879155_a.jpg,"사이드킥,그래픽노블"
Saphie the One-Eyed Cat 2 Books Set,추천 그래픽노블,2.6,JOHO,Scholastic,9781546124962,"한쪽 눈을 잃었지만 누구보다 사랑스럽고 씩씩한 고양이 사피를 주인공으로 한 따뜻한 이야기예요. 사피와 그의 사람 친구들이 함께 일상 속에서 벌어지는 소소한 모험과 마음이 오가는 순간들을 나누며, 다름과 어려움 속에서도 웃음을 잃지 않고 서로를 보듬는 법을 배워가죠. 그림과 글이 조화롭게 어우러져 편하게 읽히고, 사피의 유쾌한 매력 덕분에 페이지를 넘길수록 미소가 절로 지어지는 그런 책이에요. 작은 고양이의 큰 마음을 천천히 느껴보세요.",http://mecca01.hgodo.com/main/9781546124962_600.jpg,http://mecca01.hgodo.com/goods/9781546124962_a.jpg,"그래픽노블,one eyed,고양이,사피"
Click 6 Books Collection,추천 그래픽노블,2.8~3.3,Kayla Miller,Walker Books,9781760658793,"서로 다른 배경과 개성을 지닌 아이들이 온라인 채팅방 ‘클릭’을 통해 연결되며 각자의 고민과 일상을 나누는 과정을 그린 작품으로, Kayla Miller를 비롯한 여러 작가들이 참여해 다양한 시선과 이야기 구조를 엮어내고, 디지털 소통 시대의 우정과 관계 형성을 현실감 있게 담아내며, 각 인물의 사연이 점차 연결되는 전개를 통해 공감과 이해의 폭을 넓히고, 청소년 독자들이 자신의 감정과 관계를 돌아보며 소통의 의미를 생각해 보게 하는 감성 그래픽 스토리 컬렉션입니다.",http://mecca01.hgodo.com/main/9781760658793_600.jpg,http://mecca01.hgodo.com/goods/9781760658793_a.jpg,클릭 그래픽노블
스콜라스틱 Sparks! 3 Books Set,추천 그래픽노블,2.5~2.6,Ian Boothby,Scholastic,9781338339932,"일상 속 다양한 문제와 호기심을 바탕으로 펼쳐지는 이야기를 통해 어린이들이 새로운 관점으로 세상을 바라볼 수 있도록 합니다. 개성 있는 캐릭터와 흥미로운 사건을 따라가며 창의적인 사고와 문제 해결 과정을 경험하고, 이야기를 통해 스스로 생각하는 힘을 키울 수 있습니다. 상상력과 탐구심을 자극하는 스토리로 책 읽기의 즐거움을 더해주는 작품입니다.",https://mecca01.hgodo.com/main/9781338339932_600.jpg,https://mecca01.hgodo.com/goods/9781338339932_a.jpg,"스파크,그래픽노블"
스콜라스틱 Nat Enough 6 Books Set,추천 그래픽노블,2.6~2.9,Maria Scrivan,Scholastic,9781338538199,"자신이 늘 부족하다고 느끼는 소녀 나탈리가 학교와 친구 관계 속에서 겪는 고민과 성장을 유쾌하게 그려낸 그래픽 노블 시리즈입니다. 친구와의 갈등과 비교에서 오는 자신감 부족, 새로운 도전 등 현실적인 이야기를 공감 가는 에피소드로 풀어내고 있습니다. 가볍고 재미있는 그림과 전개 속에서도 자존감과 자기 수용의 메시지를 자연스럽게 전해 줍니다. 읽다 보면 웃음과 공감을 함께 느끼며 스스로를 있는 그대로 받아들이는 힘을 키울 수 있는 시리즈입니다.",http://mecca01.hgodo.com/main/9781338538199_600.jpg,http://mecca01.hgodo.com/goods/9781338538199_a.jpg,그래픽노블
스콜라스틱 Fearless,추천 그래픽노블,2.9,Kenny Porter,Scholastic,9781338355871,"두려움에 맞서 자신의 힘을 발견해 가는 이야기를 담고 있습니다. 어려운 상황 속에서도 용기를 내고 성장하는 캐릭터들의 모습을 통해 도전과 자신감을 생각해 볼 수 있으며, 감정의 변화와 관계 속에서 공감할 수 있는 이야기를 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/9781338355871_600.jpg,https://mecca01.hgodo.com/goods/9781338355871_a.jpg,그래픽노블
스콜라스틱 Speechless,추천 그래픽노블,2.6,Aron Nels Steinke,Scholastic,9781338849325,"자신의 목소리와 생각을 찾아가는 과정을 그린 이야기입니다. 말과 표현, 관계 속에서 겪는 고민을 현실적으로 담아내며, 주인공의 성장 과정을 따라가면서 자기 이해와 소통의 의미를 생각하게 합니다.",https://mecca01.hgodo.com/main/9781338849325_600.jpg,https://mecca01.hgodo.com/goods/9781338849325_a.jpg,그래픽노블
어스본 Usborne Sticker Dolly Stories 5 Books Set,추천 챕터북,4.6~4.7,Sarch Crofton,Usborne,8781474971317,"스티커 활동과 이야기를 함께 즐길 수 있도록 구성되어 아이가 직접 꾸미고 참여하며 책을 완성하는 경험을 제공합니다. 다양한 인물과 상황을 통해 상상력을 펼치고, 이야기 속 장면을 스스로 표현하는 창의적인 독서 활동을 즐길 수 있습니다.",https://mecca01.hgodo.com/main/8781474971317_600.jpg,https://mecca01.hgodo.com/goods/8781474971317_a.jpg,"스티커 돌리,챕터북"
넷플릭스 시리즈 KPop Demon Hunters: The Official Deluxe Junior Novelization,추천 챕터북,,Jessica Yoon,Random House,9798217234288,"K-POP과 판타지 액션이 결합된 세계에서 펼쳐지는 모험을 소설 형식으로 만나볼 수 있습니다. 음악, 팀워크, 특별한 능력을 가진 캐릭터들의 이야기를 따라가며 영화의 장면을 더욱 깊이 이해하고, 풍부한 스토리 속에서 몰입감 있는 독서를 경험할 수 있습니다.",https://mecca01.hgodo.com/main/9798217234288_600.jpg,https://mecca01.hgodo.com/goods/9798217234288_a.jpg,"케데헌,케이팝데몬헌터스,챕터북"
뉴베리 수상작 Magnolia Wu Unfolds It All,추천 챕터북,2.6,Chanel Miller,Philomel Books,9780593624531,"낯선 환경 속에서 새로운 관계를 만들어가며 성장하는 소녀의 이야기를 담고 있습니다. 일상의 작은 순간과 사람 사이의 연결을 섬세하게 그려내며, 우정과 가족, 자신만의 세계를 찾아가는 과정을 따뜻하게 보여줍니다.",https://mecca01.hgodo.com/main/9780593624531_600.jpg,https://mecca01.hgodo.com/goods/9780593624531_a.jpg,"매그놀리아,챕터북"
The Fintastical Tales of Mari A. Fisch 3 Books Set,추천 챕터북,,Monica Brown,HarperCollins,8780063116337,"상상력이 가득한 판타지 세계에서 펼쳐지는 모험과 이야기를 담고 있습니다. 독특한 캐릭터와 신비로운 설정을 통해 새로운 세계를 탐험하며, 창의적인 사고와 이야기 속 문제 해결 과정을 경험할 수 있습니다.",https://mecca01.hgodo.com/main/8780063116337_600.jpg,https://mecca01.hgodo.com/goods/8780063116337_a.jpg,"인어,마리,챕터북"
데이비드 윌리엄스 The World's Worst 3 Books Set,추천 챕터북,4.2~4.5,"David Walliams,Tony Ross",HarperCollins,8780008581633,"엉뚱하고 개성 강한 인물들의 이야기를 유쾌하게 풀어낸 작품입니다. 과장된 상황과 풍부한 유머 속에서 아이들이 웃으며 읽을 수 있으며, 독특한 캐릭터와 빠른 전개가 책 읽기의 즐거움을 더해줍니다.",https://mecca01.hgodo.com/main/8780008581633_600.jpg,https://mecca01.hgodo.com/goods/8780008581633_a.jpg,"데이빗윌리엄스,챕터북,토니로스"
Destiny Ink 4 Books Set,추천 챕터북,3.6~4.4,Adeola Sokunbi,Nosy Crow,8781805132349,"판타지와 모험이 어우러진 세계에서 자신의 운명과 선택을 찾아가는 이야기를 담고 있습니다. 신비로운 설정과 캐릭터들의 여정을 따라가며 상상력을 확장하고, 사건 속에서 성장하는 모습을 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/8781805132349_600.jpg,https://mecca01.hgodo.com/goods/8781805132349_a.jpg,"데스티니 잉크,챕터북"
하울의 움직이는 성 Howl's Moving Castle,추천 챕터북,5.4,Diana Wynne Jones,HarperCollins,9780007299263,"마법과 모험이 펼쳐지는 세계 속에서 사랑, 성장, 변화의 이야기를 담은 판타지 작품입니다. 독특한 마법 세계와 개성 넘치는 인물들의 관계를 통해 상상력을 자극하며, 예상할 수 없는 전개와 깊이 있는 캐릭터 이야기를 경험할 수 있습니다.",https://mecca01.hgodo.com/main/9780007299263_600.jpg,https://mecca01.hgodo.com/goods/9780007299263_a.jpg,챕터북
"The One and Only Ivan, Bob, and Ruby Collection 3 Books Box Set",추천 챕터북,3.6~4.2,Katherine Applegate,HarperCollins,9780063385054,"동물들의 시선으로 우정과 삶의 의미를 이야기하는 감동적인 작품입니다. 서로 다른 환경에서 살아가는 캐릭터들의 관계와 경험을 통해 공감, 배려, 희망이라는 주제를 따뜻하게 전달합니다.",https://mecca01.hgodo.com/main/9780063385054_600.jpg,https://mecca01.hgodo.com/goods/9780063385054_a.jpg,"뉴베리 수상작,챕터북"
Emily Windsnap 3 Books Set,추천 챕터북,3.7~4.3,Liz Kessler,Orion Children's,9781510106981,바다 속 신비로운 세계와 인간 세계를 오가는 소녀의 모험을 담은 판타지 이야기입니다. 인어와 해양 세계라는 독특한 설정 속에서 자신의 정체성을 찾아가는 과정과 모험을 경험할 수 있습니다.,https://mecca01.hgodo.com/main/9781510106981_600.jpg,https://mecca01.hgodo.com/goods/9781510106981_a.jpg,"인어,챕터북,에밀리 윈드스냅"
Charlie Hernandez Mythic Collection 3-Book Set,추천 챕터북,5.4~5.8,Ryan Calejo,Aladdin,9781665918022,"라틴 아메리카 신화와 현대적인 모험이 결합된 판타지 이야기입니다. 신화 속 존재들과 맞서며 성장하는 주인공의 여정을 통해 전통 문화, 용기, 가족의 의미를 함께 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/9781665918022_600.jpg,https://mecca01.hgodo.com/goods/9781665918022_a.jpg,"찰리 에르난데스,챕터북"
그리스 신화 Usborne Greek Myths for Young Children,추천 챕터북,,Anna Milbourne,Usborne,9780746037256,"고대 그리스 신화 속 신과 영웅들의 이야기를 어린이 눈높이에 맞게 만나볼 수 있습니다. 신화 속 모험과 인물들의 선택을 통해 고전 이야기의 매력을 경험하고, 다양한 문화와 배경지식을 넓힐 수 있습니다.",https://mecca01.hgodo.com/main/9780746037256_600.jpg,https://mecca01.hgodo.com/goods/9780746037256_a.jpg,"그리스 신화,어스본"
셜록 홈즈 Sherlock Holmes The Complete Short Stories Collection 56 Books Set,추천 챕터북,,Sir Arthur Conan Doyle ,Classic Editions,9781804459287,세계적으로 사랑받는 명탐정 셜록 홈즈의 추리 이야기를 통해 논리적인 사고와 관찰의 중요성을 경험할 수 있습니다. 복잡한 사건을 해결해 나가는 과정과 치밀한 추리를 따라가며 긴장감 있는 탐정 이야기를 즐길 수 있습니다.,https://mecca01.hgodo.com/main/9781804459287_600.jpg,https://mecca01.hgodo.com/goods/9781804459287_a.jpg,"아서 코난 도일,셜록 홈즈,챕터북"
The Wayside School 4-Book Collection Box Set,추천 챕터북,3.3~3.9,Louis Sachar ,HarperCollins,9780063092099,상상 속 독특한 학교를 배경으로 펼쳐지는 엉뚱하고 유머러스한 이야기를 담고 있습니다. 비현실적인 설정과 개성 넘치는 학생들의 이야기를 통해 창의력과 유쾌한 상상력을 자극합니다.,https://mecca01.hgodo.com/main/9780063092099_600.jpg,https://mecca01.hgodo.com/goods/9780063092099_a.jpg,"웨이사이드 스쿨,챕터북"
스콜라스틱 브랜치 Sports Zone! 2 Books Set,추천 챕터북,4.1, Andrew Maraniss ,Scholastic,8781546120087,"다양한 스포츠를 소재로 경기의 긴장감과 도전 과정을 담은 이야기입니다. 스포츠를 좋아하는 어린이가 경기 속 전략과 팀워크를 접하며, 목표를 향해 노력하는 과정의 의미를 생각해 볼 수 있습니다.",https://mecca01.hgodo.com/main/8781546120087_600.jpg,https://mecca01.hgodo.com/goods/8781546120087_a.jpg,"스포츠 존,챕터북"
스콜라스틱 Ranger in Time 5 Books Set (#1~5),추천 챕터북,4.2~4.7,Kate Messner,Scholastic,8780545909785,"시간 여행을 통해 역사 속 다양한 시대와 사건을 경험하는 모험 이야기입니다. 주인공이 과거의 인물과 상황을 만나며 문제를 해결하는 과정을 통해 역사적 배경과 책임감, 용기의 의미를 함께 배울 수 있습니다.",https://mecca01.hgodo.com/main/8780545909785_600.jpg,https://mecca01.hgodo.com/goods/8780545909785_a.jpg,"레인저 인 타임,챕터북"
Myrtle Hardcastle Mysteries 5 Complete Gift Set,추천 챕터북,5.5~5.9,Elizabeth C. Bunce ,AlgonquinYoung Readers,9781523527656,영리한 소녀 탐정 머틀이 사건의 단서를 찾아가는 추리 이야기입니다. 세밀한 관찰과 논리적인 추론을 통해 미스터리를 해결하는 과정을 따라가며 탐정 소설 특유의 긴장감과 재미를 경험할 수 있습니다.,https://mecca01.hgodo.com/main/9781523527656_600.jpg,https://mecca01.hgodo.com/goods/9781523527656_a.jpg,"챕터북,머틀 하드캐슬"
스콜라스틱 Magic Gems 2 Books Set,추천 챕터북,4.6,Payal Doshi ,Scholastic,9781546175681,"마법과 모험이 펼쳐지는 판타지 세계 속에서 특별한 힘과 선택에 관한 이야기를 담고 있습니다. 신비로운 설정과 캐릭터들의 여정을 따라가며 상상력을 키우고, 모험 속 성장 과정을 만나볼 수 있습니다.",https://mecca01.hgodo.com/main/9781546175681_600.jpg,https://mecca01.hgodo.com/goods/9781546175681_a.jpg,"매직 젬스,챕터북,인어"
스콜라스틱 Pet Simulator 2 Books Set,추천 챕터북,3.7,Katherine Noll 외,Scholastic,8781546131625,가상 세계와 반려동물을 소재로 한 모험 이야기를 통해 게임과 현실을 연결한 이야기를 만나볼 수 있습니다. 친숙한 소재와 빠른 전개 속에서 캐릭터들의 도전과 협력 과정을 경험할 수 있습니다.,https://mecca01.hgodo.com/main/8781546131625_600.jpg,https://mecca01.hgodo.com/goods/8781546131625_a.jpg,"펫 시뮬레이터,챕터북"
올리버 제퍼스 What We'll Build,추천 스토리북,,Oliver Jeffers,HarperCollins,9780008382216,"미래를 함께 만들어가는 부모와 아이의 약속을 담은 따뜻한 그림책입니다. 사랑과 믿음, 성장에 대한 메시지를 섬세한 글과 그림으로 표현하며, 아이가 앞으로 마주할 세상을 향한 긍정적인 마음과 가족 간의 유대감을 느낄 수 있습니다.",https://mecca01.hgodo.com/main/9780008382216_600.jpg,https://mecca01.hgodo.com/goods/9780008382216_a.jpg,"스토리북,그림책"
When Sadness Comes To Call,추천 스토리북,1.8, Eva Eland,Andersen Press,9781783447954,슬픔이라는 감정을 하나의 손님처럼 바라보며 마음을 이해하는 방법을 이야기하는 그림책입니다. 힘든 감정을 억누르기보다 자연스럽게 받아들이고 표현하는 과정을 통해 감정 인식과 공감의 중요성을 생각해 볼 수 있습니다.,https://mecca01.hgodo.com/main/9781783447954_600.jpg,https://mecca01.hgodo.com/goods/9781783447954_a.jpg,"스토리북,그림책,새드니스"
Where Happiness Begins,추천 스토리북,2.8,Eva Eland,Andersen Press,9781783448562,"행복이란 언제나 멀리 있는 것 같지만 사실 우리 곁에서 시작된다는 걸 들려주는 그림책이에요. 주인공이 행복을 찾고, 느끼고, 때론 놓치기도 하면서 일상의 소소한 순간들이 얼마나 소중한지 깨닫게 되죠. 재치 있고 감성적인 그림과 함께 감정의 여정을 따라가다 보면, 아이들도 스스로 행복을 찾아보는 마음을 키울 수 있어요. 크고 작은 감정들을 이해하며 가족과 함께 따뜻한 이야기를 나누기에 딱 좋은 책이에요.",http://mecca01.hgodo.com/main/9781783448562_600.jpg,http://mecca01.hgodo.com/goods/9781783448562_a.jpg,"해피니스,스토리북,그림책"
스콜라스틱 There Was an Old Lady Who Swallowed a Rose!,추천 스토리북,2.8,Lucille Colandro,Scholastic,9780545352239,"반복되는 문장과 예측할 수 없는 전개가 특징인 유쾌한 이야기로, 친숙한 패턴 속에서 읽는 즐거움을 느낄 수 있습니다. 엉뚱한 상황과 리듬감 있는 표현이 어우러져 소리 내어 읽기에 좋으며, 이야기 흐름을 따라가는 재미를 더해줍니다.",http://mecca01.hgodo.com/main/9780545352239_600.jpg,https://mecca01.hgodo.com/goods/9780545352239_a.jpg,"스토리북,그림책,장미를 삼킨 할머니"
Where's the BaBOOn?,추천 스토리북,,Michael Escoffier,Andersen Press,9781783444823,"숨어 있는 원숭이를 찾는 과정을 통해 관찰력과 상상력을 자극하는 그림책입니다. 반복적인 질문과 재미있는 그림 속 단서를 따라가며 아이가 적극적으로 이야기에 참여하고, 책 읽기의 즐거움을 경험할 수 있습니다.",http://mecca01.hgodo.com/main/9781783444823_600.jpg,https://mecca01.hgodo.com/goods/9781783444823_a.jpg,"스토리북,그림책"
제즈 알버로우 Where's My Teddy?,추천 스토리북,2.2,Jez Alborough,Walker Books,9781406349795,"곰 인형을 찾으러 나선 아이와 숲속 곰의 이야기를 담은 유쾌한 그림책입니다. 아이와 곰이 서로를 찾아가는 과정에서 생기는 오해와 반전을 통해 긴장감과 웃음을 함께 느낄 수 있으며, 따뜻한 관계와 감정을 자연스럽게 표현합니다.",http://mecca01.hgodo.com/main/9781406349795_600.jpg,https://mecca01.hgodo.com/goods/9781406349795_a.jpg,"스토리북,그림책"
젬마 메리노 The Sheep Who Hatched an Egg,추천 스토리북,2.7,Gemma Merino,Macmillan,9781509822300,자신과 다른 모습을 받아들이고 특별함을 발견하는 이야기를 담은 그림책입니다. 작은 차이를 긍정적으로 바라보는 메시지와 개성 있는 캐릭터를 통해 자신감과 다양성의 가치를 생각해 볼 수 있습니다.,http://mecca01.hgodo.com/main/9781509822300_600.jpg,https://mecca01.hgodo.com/data/temp/shop/data/goods/2016/9781509822300_a.jpg,"스토리북,그림책"
크리스 호튼 Shh! We Have a Plan,추천 스토리북,0.8,Chris Haughton,Walker Books,9781406360035,"새를 잡으려는 등장인물들의 계획과 예상 밖의 결과를 담은 코믹한 그림책입니다. 반복되는 표현과 단순한 전개 속에서 긴장감과 유머를 느낄 수 있으며, 그림만으로도 이야기를 따라가는 재미를 제공합니다.",https://mecca01.hgodo.com/data/goods/15/09/15/5049/5049_Detail0.jpeg,https://mecca01.hgodo.com/goods/9781406360035_a.jpg,"스토리북,그림책"
There's an Alien in Your Book,추천 스토리북,2.4,Tom Fletcher,Dragonfly Books,9780593569320,책 속에 들어온 외계인과 함께 이야기를 만들어가는 참여형 그림책입니다. 아이가 직접 행동하며 페이지를 넘기고 상황에 반응하도록 구성되어 상상력과 적극적인 독서 경험을 이끌어냅니다.,https://mecca01.hgodo.com/main/9780593569320_600.jpg,https://mecca01.hgodo.com/goods/9780593569320_a.jpg,"스토리북,그림책"
I Love My Cat,추천 스토리북,,Simon Mole,Frances Lincoln,9780711276512,고양이를 향한 애정과 함께 반려동물과의 관계를 따뜻하게 표현한 그림책입니다. 간결한 이야기와 사랑스러운 그림을 통해 돌봄과 애정 표현의 의미를 자연스럽게 느낄 수 있습니다.,https://mecca01.hgodo.com/main/9780711276512_600.jpg,https://mecca01.hgodo.com/goods/9780711276512_a.jpg,"스토리북,그림책"
레오 니오니 It's Mine!,추천 스토리북,2.7,Leo Lionni,Dragonfly Books,9780679880844,"소유욕과 함께 나누는 기쁨에 대해 생각하게 하는 레오 니오니의 대표적인 이야기입니다. 세 마리 개구리의 갈등과 변화를 통해 협력, 배려, 함께하는 삶의 가치를 자연스럽게 전달합니다.",http://mecca01.hgodo.com/main/9780679880844_600.jpg,http://mecca01.hgodo.com/goods/9780679880844_a.jpg,"스토리북,그림책,레오니오니"
TV 시리즈 버전 Pip and Posy 5 Books SET 1 (QR음원 포함),추천 스토리북,,Cameila Redie,Nosy Crow,9781805137849,"핍앤포시는 토끼 핍과 생쥐 포시라는 두 친구가 함께 놀이하고 모험하는 일상을 담은 이야기예요. 매일 서로 장난치고 놀면서 때론 다투고, 때론 도와주면서 우정과 협동, 감정 표현 같은 걸 자연스럽게 배우게 돼요. 반복되고 쉬운 문장으로 스토리북 입문용으로 읽기 아주 좋아요. 애니메이션 시리즈로도 인기가 많아 책과 함께 보면 더 재밌게 즐길 수 있는 이야기예요.",http://mecca01.hgodo.com/main/9781805137849_600.jpg,http://mecca01.hgodo.com/goods/9781805137849_a.jpg,"스토리북,그림책,핍앤포지,핍앤포시"
TV 시리즈 버전 Pip and Posy 5 Books SET 2 (QR음원 포함),추천 스토리북,,Cameila Redie,Nosy Crow,9781805137887,"핍앤포시는 토끼 핍과 생쥐 포시라는 두 친구가 함께 놀이하고 모험하는 일상을 담은 이야기예요. 매일 서로 장난치고 놀면서 때론 다투고, 때론 도와주면서 우정과 협동, 감정 표현 같은 걸 자연스럽게 배우게 돼요. 반복되고 쉬운 문장으로 스토리북 입문용으로 읽기 아주 좋아요. 애니메이션 시리즈로도 인기가 많아 책과 함께 보면 더 재밌게 즐길 수 있는 이야기예요.",http://mecca01.hgodo.com/main/9781805137887_600.jpg,http://mecca01.hgodo.com/goods/9781805137887_a.jpg,"스토리북,그림책,핍앤포지,핍앤포시"
Angelina Ballerina 8 Great Board Books,추천 스토리북,3.9~4.7,Katharine Holabird,Simon Spotlight,9781665911047,"발레를 사랑하는 생쥐 소녀 안젤리나의 일상과 꿈을 담은 그림책입니다. 발레 연습과 친구들과의 경험을 통해 노력, 자신감, 도전의 의미를 자연스럽게 보여주며, 아이가 좋아하는 활동을 발견하고 꾸준히 노력하는 즐거움을 느낄 수 있습니다. 보드북 형태로 어린 아이들이 손쉽게 접하며 첫 독서 경험을 쌓기에 적합합니다.",https://mecca01.hgodo.com/main/9781665911047_600.jpg,https://mecca01.hgodo.com/goods/9781665911047_a.jpg,"스토리북,그림책,안젤리나 발레리나"
어스본 Usborne Dinosaur Tales Series 5 Books Set (QR음원 포함),추천 스토리북,2.1~2.4,Russell Punter,Usborne,8781803702469,"공룡이 등장하는 흥미로운 이야기를 통해 상상력과 호기심을 자극하는 그림책입니다. 다양한 공룡 캐릭터와 모험 속에서 이야기를 따라가며 자연스럽게 내용을 이해하고, QR 음원을 활용해 듣기와 읽기를 함께 경험할 수 있습니다.",https://mecca01.hgodo.com/main/8781803702469_600.jpg,https://mecca01.hgodo.com/goods/8781803702469_a.jpg,"스토리북,그림책,다이노소우,다이노소어,공룡"
에밀리 그라벳 Emily Gravett Picture Book Collection 8 Books,추천 스토리북,1.5~3.0,Emily Gravett,Two Hoots Books,9781529066586,"사랑스러운 동물과 아이들의 일상, 상상력이 가득한 그림책들로 구성된 컬렉션이에요. 각각의 이야기에서 다정하고 재미있는 상황이 펼쳐져 그림과 함께 읽는 재미가 커요. 작가 특유의 귀엽고 유쾌한 일러스트가 글을 쉽게 이해하게 해 주고, 영어 읽기를 시작하는 아이들도 부담 없이 즐기기 좋아요. 에밀리 그라벳 작가 그림책만의 따뜻한 분위기로 처음 책과 친해지는 데 딱 좋은 세트예요.",https://mecca01.hgodo.com/main/9781529040081_old_600.jpg,http://mecca01.hgodo.com/data/temp/shop/data/goods/2016/9781529040081_a.jpg,"스토리북,그림책"
모 윌렘스 Knuffle Bunny 3 Book Collection,추천 스토리북,,Mo Willems,Walker Books,9781406379259,"평범한 일상 속에서 벌어지는 아이와 가족의 이야기를 유쾌하게 담은 그림책 시리즈입니다. 소중한 애착 인형을 둘러싼 작은 사건과 성장 과정을 통해 아이의 감정, 독립심, 가족 간의 관계를 따뜻하게 표현합니다. 모 윌렘스 특유의 간결한 글과 개성 있는 그림이 어우러져 어린이가 공감하며 즐길 수 있는 이야기입니다.",http://mecca01.hgodo.com/main/9781406379259_600.jpg,https://mecca01.hgodo.com/data/temp/shop/data/goods/2016/9781406379259_a.jpg,"스토리북,그림책,너플버니"
